Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,78.599998,79.779999,78.260002,79.419998,77.422089,9800700
2016-12-07,79.239998,80.610001,78.489998,80.529999,78.504173,10532900
2016-12-08,80.529999,80.559998,77.389999,78.110001,76.145042,16110200
2016-12-09,78.879997,80.540001,78.739998,80.129997,78.114227,6730100
2016-12-12,79.459999,80.529999,79.260002,79.730003,77.724297,6619800
2016-12-13,79.709999,80.309998,78.730003,80.150002,78.133728,8152500
2016-12-14,80.300003,81.129997,78.519997,78.959999,76.973671,7278800
2016-12-15,78.000000,79.239998,76.110001,78.290001,76.320511,10621500
2016-12-16,78.650002,79.699997,78.610001,79.559998,77.558563,10459000
2016-12-19,79.279999,80.220001,79.269997,79.930000,77.919266,6936100
2016-12-20,79.980003,81.239998,79.669998,79.839996,77.831520,6109100
2016-12-21,79.529999,80.190002,79.040001,79.849998,77.841286,5808100
2016-12-22,79.540001,79.750000,78.500000,78.790001,76.807938,5850400
2016-12-23,78.790001,79.300003,78.690002,79.139999,77.149139,2754200
2016-12-27,78.949997,79.720001,78.900002,79.290001,77.295364,2947700
2016-12-28,79.300003,79.370003,78.639999,79.040001,77.051659,3390700
2016-12-29,78.889999,79.470001,78.809998,79.000000,77.012657,3579100
2016-12-30,78.959999,79.309998,78.459999,78.910004,76.924927,4326100
2017-01-03,79.580002,80.449997,78.970001,80.349998,78.328690,5922800
2017-01-04,80.339996,80.419998,79.440002,79.750000,77.743790,7101800
2017-01-05,79.849998,81.519997,78.800003,81.419998,79.371788,8805400
2017-01-06,81.410004,82.459999,80.940002,82.199997,80.132149,7087100
2017-01-09,82.199997,82.379997,81.160004,81.699997,79.644730,6847600
2017-01-10,81.720001,82.889999,81.510002,82.669998,80.590332,7053300
2017-01-11,82.220001,83.110001,81.730003,82.769997,80.687813,6404200
2017-01-12,82.919998,83.209999,82.379997,82.599998,80.522095,5774300
2017-01-13,82.699997,82.910004,81.750000,81.980003,79.917694,4809200
2017-01-17,81.959999,83.980003,81.910004,83.919998,81.808891,7211500
2017-01-18,84.489998,84.720001,83.199997,83.540001,81.438446,5263100
2017-01-19,83.169998,83.860001,82.320000,83.199997,81.107002,5220700
2017-01-20,83.290001,83.430000,81.309998,81.559998,79.988960,8004100
2017-01-23,81.500000,81.930000,81.019997,81.250000,79.684937,6305900
2017-01-24,81.349998,82.150002,81.120003,81.779999,80.204720,4743700
2017-01-25,81.919998,82.199997,79.419998,79.489998,77.958832,10652200
2017-01-26,79.080002,80.419998,78.440002,79.330002,77.801918,7627500
2017-01-27,79.830002,79.889999,77.029999,77.750000,76.252357,10924400
2017-01-30,77.459999,79.019997,77.320000,78.680000,77.164436,7488500
2017-01-31,78.550003,79.300003,78.510002,78.809998,77.291931,6435200
2017-02-01,78.650002,79.099998,77.690002,77.970001,76.468117,6463100
2017-02-02,76.349998,76.349998,74.050003,74.800003,73.359177,18840200
2017-02-03,75.339996,76.419998,75.279999,75.459999,74.006462,11937000
2017-02-06,75.599998,76.820000,75.529999,76.070000,74.604713,9559500
