Date,Open,High,Low,Close,Adj Close,Volume
3/2/2017,111,111.209999,110.449997,110.589996,109.773376,4715600
3/3/2017,110.589996,111.5,110.040001,111.239998,110.418571,5837900
3/6/2017,110.769997,110.980003,110.089996,110.669998,109.852783,4983200
3/7/2017,110.699997,110.93,110.160004,110.860001,110.041382,5114400
3/8/2017,110.870003,111.32,110.660004,110.839996,110.02153,4929900
3/9/2017,110.900002,111.32,110.690002,111.029999,110.210129,4005700
3/10/2017,111.400002,111.5,110.690002,110.919998,110.100937,4027400
3/13/2017,110.919998,111.68,110.82,111.519997,110.696503,5213600
3/14/2017,111.730003,112.889999,111.720001,112.309998,111.480675,7273500
3/15/2017,112.43,112.449997,111.150002,111.870003,111.04393,5319500
3/16/2017,112.18,112.32,111.400002,111.709999,110.885109,4409400
3/17/2017,111.870003,112.089996,111.18,111.760002,110.934738,9061200
3/20/2017,112.07,113.160004,112.050003,112.709999,111.877724,8156300
3/21/2017,112.970001,113.099998,111.540001,111.75,110.924812,7109800
3/22/2017,111.849998,112.18,111.349998,112.080002,111.252373,5044700
3/23/2017,111.709999,112.980003,111.660004,112.239998,111.411194,8307900
3/24/2017,112.400002,112.580002,111.68,112.139999,111.311928,4707300
3/27/2017,111.809998,112.550003,111.449997,112.379997,111.550156,4469800
3/28/2017,112.599998,113.239998,112.019997,113.050003,112.215218,6280900
3/29/2017,112.660004,112.940002,112.309998,112.529999,111.699051,3781200
3/30/2017,112.529999,113.300003,112.279999,113.18,112.344254,4192800
3/31/2017,113,113.709999,112.949997,113.389999,112.552704,4617400
4/3/2017,113.18,113.650002,112.43,113.199997,112.364098,4643300
4/4/2017,113.150002,113.550003,112.830002,113.040001,112.205284,3386100
4/5/2017,113.580002,113.839996,112.790001,113,112.165581,4795100
4/6/2017,112.849998,113.419998,112.389999,113.050003,112.215218,4744000
4/7/2017,112.82,113.279999,112.529999,112.580002,111.748688,4300700
4/10/2017,112.800003,112.889999,112.040001,112.43,111.599792,4053600
4/11/2017,113.68,113.830002,112.589996,113.07,112.235062,5230800
4/12/2017,113.029999,113.279999,112.760002,113.040001,112.205284,4086300
4/13/2017,113.040001,114.25,112.989998,113.199997,112.364098,6530800
4/17/2017,113.330002,113.940002,113.220001,113.779999,112.939819,5120200
4/18/2017,113.480003,114.75,113,114.190002,113.346794,6191100
4/19/2017,114.559998,115,113.540001,113.730003,112.89019,5303400
4/20/2017,114.169998,115.050003,113.870003,114.790001,113.942368,5279300
4/21/2017,114.379997,115.120003,114.269997,114.440002,113.594948,6654500
4/24/2017,115.260002,115.379997,113.660004,113.699997,112.860413,7294600
4/25/2017,113.730003,115.519997,113.68,115.18,114.329483,6918300
4/26/2017,115.400002,115.959999,114.860001,115.580002,114.726532,4809800
4/27/2017,115.800003,116.099998,115.389999,115.839996,114.984604,3910800
4/28/2017,115.870003,115.900002,115.239998,115.599998,114.746384,3947400
5/1/2017,115.589996,115.610001,114.720001,114.730003,113.882813,4963300
5/2/2017,114.870003,114.989998,113.68,114.370003,113.525467,6604600
5/3/2017,114.029999,114.089996,111.18,111.620003,110.795776,11521200
5/4/2017,110.580002,111.300003,109.059998,111.169998,110.349091,10691200
5/5/2017,111.489998,112.150002,110.919998,111.989998,111.16304,5871400
5/8/2017,112.389999,112.389999,111,111.419998,110.597244,5980100
5/9/2017,111.550003,112.150002,110.349998,112.07,111.242447,9337400
5/10/2017,109,109.660004,108.129997,109.660004,108.85025,17061100
5/11/2017,109.739998,110.010002,108.5,109.580002,108.770836,8021300
5/12/2017,109.800003,109.889999,109.269997,109.690002,108.880028,5067700
5/15/2017,109.730003,110.080002,109.120003,109.129997,108.324158,6241300
5/16/2017,109.129997,109.230003,107.82,107.980003,107.182655,10047100
5/17/2017,107.980003,107.980003,105.230003,106.309998,105.524979,12763200
5/18/2017,105.980003,107.309998,105.980003,106.68,105.89225,6532200
5/19/2017,106.760002,107.860001,106.699997,107.519997,106.726044,6336700
5/22/2017,107.650002,108.199997,107.410004,107.629997,106.835228,5487200
5/23/2017,107.68,107.800003,106.910004,107.019997,106.229736,7542600
5/24/2017,107.150002,107.830002,106.93,107.709999,106.914642,4366700
5/25/2017,108.129997,108.129997,106.779999,107.269997,106.47789,8030400
5/26/2017,107.709999,108.489998,107.480003,108.410004,107.609482,6236800
5/30/2017,108.489998,108.599998,107.949997,108.339996,107.539986,4813400
5/31/2017,108.400002,108.650002,107.639999,107.940002,107.142944,9963600
6/1/2017,107.730003,108.209999,107.169998,108.209999,107.41095,5907400
6/2/2017,108.459999,108.639999,106.949997,107.18,106.388557,10876900
6/5/2017,107.040001,107.220001,106.110001,106.519997,105.733429,6372800
6/6/2017,106.169998,106.190002,104.610001,105.5,104.720963,9589500
6/7/2017,105.790001,106.25,105.540001,105.919998,105.137863,5777700
6/8/2017,105.919998,105.919998,104.160004,104.32,103.549675,10953000
6/9/2017,104.279999,105.919998,104.080002,105.620003,104.84008,9392500
6/12/2017,105.620003,107.199997,105.620003,107.040001,106.249588,8049500
6/13/2017,107.139999,107.260002,106.160004,106.559998,105.773132,4918900
6/14/2017,106.949997,107.010002,105.760002,106.139999,105.356239,4781100
6/15/2017,105.940002,106.160004,105.230003,105.980003,105.197418,5309900
6/16/2017,106.279999,106.349998,104.769997,105.510002,104.730888,8683400
6/19/2017,105.599998,106,105.190002,105.370003,104.591927,5956200
6/20/2017,105.07,105.300003,103.809998,103.940002,103.172485,7895700
6/21/2017,104.389999,105.080002,103.540001,104.800003,104.026138,7765700
6/22/2017,104.709999,104.769997,104.089996,104.220001,103.450417,6156000
6/23/2017,103.830002,104.580002,103.169998,104.360001,103.589378,18147900
6/26/2017,104.599998,105.849998,104.559998,105.57,104.790443,5867000
6/27/2017,105.330002,106.150002,105.139999,105.410004,104.63163,5694500
6/28/2017,106.019997,107.540001,104.519997,106.860001,106.070923,7874400
6/29/2017,106.800003,107.410004,105.330002,105.709999,104.929413,7268700
6/30/2017,106.25,106.559998,105.5,106.25,105.465424,5113800
7/3/2017,106.760002,108.620003,106.760002,107.459999,106.666489,5399400
7/5/2017,107.830002,107.849998,105.290001,105.629997,104.849998,8049700
7/6/2017,104.610001,104.690002,102.940002,103.349998,103.349998,8690800
7/7/2017,103.510002,103.730003,102.720001,103.32,103.32,6030900
7/10/2017,103.300003,103.910004,102.870003,103.589996,103.589996,4421300
7/11/2017,103.599998,104.190002,103.190002,103.839996,103.839996,4557300
7/12/2017,104.339996,104.650002,103.650002,104.379997,104.379997,5203300
7/13/2017,104.449997,105.339996,104.040001,104.290001,104.290001,5339500
7/14/2017,104.43,105.25,104.410004,105.089996,105.089996,4370300
7/17/2017,105.169998,105.419998,104.709999,104.790001,104.790001,3973800
7/18/2017,104.599998,105.800003,104.309998,105.75,105.75,5740500
7/19/2017,106.129997,106.870003,106.050003,106.82,106.82,5789400
7/20/2017,106.989998,107.709999,106.75,107.360001,107.360001,6185500
7/21/2017,107.099998,107.330002,106.809998,107.089996,107.089996,4328500
7/24/2017,107.309998,107.540001,106.900002,107,107,4615500
7/25/2017,107.599998,107.739998,106.199997,106.419998,106.419998,5394700
7/26/2017,106.550003,107.029999,106.309998,106.940002,106.940002,4149000
7/27/2017,107.690002,110,107.440002,110,110,10468700
7/28/2017,109.980003,110.190002,109.669998,109.959999,109.959999,4864500
7/31/2017,110.019997,110.139999,109.339996,109.93,109.93,6815300
8/1/2017,109.980003,110.830002,109.949997,110.610001,110.610001,5987200
8/2/2017,109.879997,109.879997,107.519997,108.669998,108.669998,8812700
8/3/2017,108.519997,109.169998,108.050003,109.120003,109.120003,6895800
8/4/2017,108.230003,108.5,107.32,107.690002,107.690002,8503800
8/7/2017,107.589996,107.650002,106.110001,106.349998,106.349998,8093100
8/8/2017,106.550003,107.139999,106.18,106.980003,106.980003,9787100
